bollinger_period,bollinger_std,bollinger_width_threshold,final_value
10,0.5,0.07,995.7500171661376
10,0.5,0.08,995.7500171661376
10,0.8,0.07,979.8069542551146
10,0.8,0.08,979.8069542551146
10,1.0,0.07,979.8069542551146
10,1.0,0.08,979.8069542551146
10,1.2,0.07,979.8069542551146
10,1.2,0.08,979.8069542551146
10,1.5,0.07,979.8069542551146
10,1.5,0.08,979.8069542551146
14,0.5,0.07,995.7500171661376
14,0.5,0.08,995.7500171661376
14,0.8,0.07,979.8069542551146
14,0.8,0.08,979.8069542551146
14,1.0,0.07,979.8069542551146
14,1.0,0.08,979.8069542551146
14,1.2,0.07,979.8069542551146
14,1.2,0.08,979.8069542551146
14,1.5,0.07,979.8069542551146
14,1.5,0.08,979.8069542551146
